d,p,logical_error_rate,total_fails,num_shots
3,0.005,0.004,2,500
3,0.008,0.022,11,500
3,0.012,0.036,18,500
3,0.018,0.09,45,500
3,0.028,0.254,127,500
3,0.042,0.348,174,500
3,0.065,0.45,225,500
3,0.09,0.516,258,500
3,0.11,0.722,361,500
5,0.005,0.002,1,500
5,0.008,0.016,8,500
5,0.012,0.058,29,500
5,0.018,0.12,60,500
5,0.028,0.474,237,500
5,0.042,0.612,306,500
5,0.065,0.738,369,500
7,0.005,0,0,500
7,0.008,0.006,3,500
7,0.012,0.044,22,500
7,0.018,0.19,95,500
7,0.028,0.514,257,500
7,0.042,0.718,359,500
9,0.005,0.002,1,500
9,0.008,0.002,1,500
9,0.012,0.03,15,500
9,0.018,0.208,104,500
9,0.028,0.584,292,500
9,0.042,0.748,374,500
11,0.005,0,0,500
11,0.008,0,0,500
11,0.012,0.03,15,500
11,0.018,0.23,115,500
11,0.028,0.682,341,500
13,0.005,0,0,500
13,0.008,0,0,500
13,0.012,0.022,11,500
13,0.018,0.316,158,500
13,0.028,0.678,339,500
