d,p,logical_error_rate,total_fails,num_shots
3,0.005,0.006,3,500
3,0.008,0.02,10,500
3,0.012,0.03,15,500
3,0.018,0.134,67,500
3,0.028,0.202,101,500
3,0.042,0.296,148,500
3,0.065,0.416,208,500
3,0.09,0.504,252,500
3,0.11,0.61,305,500
3,0.13,0.73,365,500
5,0.005,0.006,3,500
5,0.008,0.006,3,500
5,0.012,0.036,18,500
5,0.018,0.12,60,500
5,0.028,0.432,216,500
5,0.042,0.572,286,500
5,0.065,0.658,329,500
5,0.09,0.702,351,500
7,0.005,0.002,1,500
7,0.008,0.008,4,500
7,0.012,0.026,13,500
7,0.018,0.138,69,500
7,0.028,0.4,200,500
7,0.042,0.688,344,500
9,0.005,0,0,500
9,0.008,0.002,1,500
9,0.012,0.008,4,500
9,0.018,0.124,62,500
9,0.028,0.536,268,500
9,0.042,0.742,371,500
11,0.005,0,0,500
11,0.008,0,0,500
11,0.012,0.006,3,500
11,0.018,0.12,60,500
11,0.028,0.562,281,500
11,0.042,0.748,374,500
13,0.005,0,0,500
13,0.008,0,0,500
13,0.012,0.008,4,500
13,0.018,0.148,74,500
13,0.028,0.612,306,500
13,0.042,0.762,381,500
