d,p,logical_error_rate,total_fails,num_shots
3,0.0005,0,0,5000
3,0.0007,0,0,5000
3,0.001,0,0,5000
3,0.0014,0,0,5000
3,0.002,0.0006,3,5000
3,0.0028,0.0004,2,5000
3,0.004,0.001,5,5000
3,0.0056,0.0036,18,5000
3,0.008,0.0052,26,5000
3,0.011,0.0106,53,5000
3,0.016,0.027,135,5000
3,0.022,0.038,190,5000
3,0.031,0.069,345,5000
3,0.044,0.131,655,5000
3,0.063,0.2198,1099,5000
3,0.088,0.3264,1632,5000
3,0.125,0.4764,2382,5000
3,0.176,0.5662,2831,5000
3,0.25,0.702,3510,5000
5,0.0005,0,0,5000
5,0.0007,0,0,5000
5,0.001,0,0,5000
5,0.0014,0,0,5000
5,0.002,0,0,5000
5,0.0028,0,0,5000
5,0.004,0.0004,2,5000
5,0.0056,0.0006,3,5000
5,0.008,0.0012,6,5000
5,0.011,0.002,10,5000
5,0.016,0.0116,58,5000
5,0.022,0.025,125,5000
5,0.031,0.0538,269,5000
5,0.044,0.115,575,5000
5,0.063,0.2674,1337,5000
5,0.088,0.4332,2166,5000
5,0.125,0.6398,3199,5000
5,0.176,0.693,3465,5000
7,0.0005,0,0,5000
7,0.0007,0,0,5000
7,0.001,0,0,5000
7,0.0014,0,0,5000
7,0.002,0,0,5000
7,0.0028,0,0,5000
7,0.004,0,0,5000
7,0.0056,0,0,5000
7,0.008,0,0,5000
7,0.011,0.0006,3,5000
7,0.016,0.0042,21,5000
7,0.022,0.0084,42,5000
7,0.031,0.0314,157,5000
7,0.044,0.1102,551,5000
7,0.063,0.2828,1414,5000
7,0.088,0.5306,2653,5000
7,0.125,0.7016,3508,5000
9,0.0005,0,0,5000
9,0.0007,0,0,5000
9,0.001,0,0,5000
9,0.0014,0,0,5000
9,0.002,0,0,5000
9,0.0028,0,0,5000
9,0.004,0,0,5000
9,0.0056,0,0,5000
9,0.008,0,0,5000
9,0.011,0,0,5000
9,0.016,0.001,5,5000
9,0.022,0.0038,19,5000
9,0.031,0.019,95,5000
9,0.044,0.0836,418,5000
9,0.063,0.2868,1434,5000
9,0.088,0.591,2955,5000
9,0.125,0.7342,3671,5000
11,0.0005,0,0,5000
11,0.0007,0,0,5000
11,0.001,0,0,5000
11,0.0014,0,0,5000
11,0.002,0,0,5000
11,0.0028,0,0,5000
11,0.004,0,0,5000
11,0.0056,0,0,5000
11,0.008,0,0,5000
11,0.011,0,0,5000
11,0.016,0.0004,2,5000
11,0.022,0.0008,4,5000
11,0.031,0.009,45,5000
11,0.044,0.064,320,5000
11,0.063,0.2944,1472,5000
11,0.088,0.6196,3098,5000
11,0.125,0.7588,3794,5000
15,0.0005,0,0,5000
15,0.0007,0,0,5000
15,0.001,0,0,5000
15,0.0014,0,0,5000
15,0.002,0,0,5000
15,0.0028,0,0,5000
15,0.004,0,0,5000
15,0.0056,0,0,5000
15,0.008,0,0,5000
15,0.011,0,0,5000
15,0.016,0,0,5000
15,0.022,0,0,5000
15,0.031,0.0016,8,5000
15,0.044,0.03,150,5000
15,0.063,0.292,1460,5000
15,0.088,0.7036,3518,5000
19,0.0005,0,0,5000
19,0.0007,0,0,5000
19,0.001,0,0,5000
19,0.0014,0,0,5000
19,0.002,0,0,5000
19,0.0028,0,0,5000
19,0.004,0,0,5000
19,0.0056,0,0,5000
19,0.008,0,0,5000
19,0.011,0,0,5000
19,0.016,0,0,5000
19,0.022,0,0,5000
19,0.031,0.0004,2,5000
19,0.044,0.0172,86,5000
19,0.063,0.3006,1503,5000
19,0.088,0.7342,3671,5000
