d,p,logical_error_rate,total_fails,num_shots
3,0.005,0.001,1,1000
3,0.008,0,0,1000
3,0.012,0.001,1,1000
3,0.018,0.008,8,1000
3,0.028,0.009,9,1000
3,0.042,0.018,18,1000
3,0.065,0.062,62,1000
3,0.09,0.105,105,1000
3,0.11,0.146,146,1000
3,0.13,0.171,171,1000
3,0.15,0.208,208,1000
3,0.17,0.261,261,1000
3,0.19,0.288,288,1000
3,0.22,0.365,365,1000
3,0.26,0.435,435,1000
3,0.3,0.516,516,1000
5,0.005,0,0,1000
5,0.008,0,0,1000
5,0.012,0,0,1000
5,0.018,0.002,2,1000
5,0.028,0.008,8,1000
5,0.042,0.008,8,1000
5,0.065,0.036,36,1000
5,0.09,0.069,69,1000
5,0.11,0.121,121,1000
5,0.13,0.165,165,1000
5,0.15,0.2,200,1000
5,0.17,0.281,281,1000
5,0.19,0.317,317,1000
5,0.22,0.458,458,1000
5,0.26,0.507,507,1000
5,0.3,0.587,587,1000
7,0.005,0,0,1000
7,0.008,0,0,1000
7,0.012,0,0,1000
7,0.018,0.001,1,1000
7,0.028,0,0,1000
7,0.042,0.004,4,1000
7,0.065,0.015,15,1000
7,0.09,0.05,50,1000
7,0.11,0.117,117,1000
7,0.13,0.163,163,1000
7,0.15,0.219,219,1000
7,0.17,0.296,296,1000
7,0.19,0.397,397,1000
7,0.22,0.463,463,1000
7,0.26,0.577,577,1000
7,0.3,0.653,653,1000
9,0.005,0,0,1000
9,0.008,0,0,1000
9,0.012,0,0,1000
9,0.018,0,0,1000
9,0.028,0,0,1000
9,0.042,0.002,2,1000
9,0.065,0.017,17,1000
9,0.09,0.049,49,1000
9,0.11,0.074,74,1000
9,0.13,0.155,155,1000
9,0.15,0.234,234,1000
9,0.17,0.349,349,1000
9,0.19,0.414,414,1000
9,0.22,0.503,503,1000
9,0.26,0.614,614,1000
9,0.3,0.702,702,1000
13,0.005,0,0,1000
13,0.008,0,0,1000
13,0.012,0,0,1000
13,0.018,0,0,1000
13,0.028,0,0,1000
13,0.042,0,0,1000
13,0.065,0.004,4,1000
13,0.09,0.015,15,1000
13,0.11,0.065,65,1000
13,0.13,0.136,136,1000
13,0.15,0.215,215,1000
13,0.17,0.336,336,1000
13,0.19,0.428,428,1000
13,0.22,0.577,577,1000
13,0.26,0.688,688,1000
17,0.005,0,0,1000
17,0.008,0,0,1000
17,0.012,0,0,1000
17,0.018,0,0,1000
17,0.028,0,0,1000
17,0.042,0,0,1000
17,0.065,0,0,1000
17,0.09,0.014,14,1000
17,0.11,0.051,51,1000
17,0.13,0.119,119,1000
17,0.15,0.238,238,1000
17,0.17,0.376,376,1000
17,0.19,0.493,493,1000
17,0.22,0.624,624,1000
17,0.26,0.711,711,1000
21,0.005,0,0,1000
21,0.008,0,0,1000
21,0.012,0,0,1000
21,0.018,0,0,1000
21,0.028,0,0,1000
21,0.042,0,0,1000
21,0.065,0.001,1,1000
21,0.09,0.003,3,1000
21,0.11,0.029,29,1000
21,0.13,0.116,116,1000
21,0.15,0.242,242,1000
21,0.17,0.363,363,1000
21,0.19,0.509,509,1000
21,0.22,0.647,647,1000
21,0.26,0.739,739,1000
31,0.005,0,0,1000
31,0.008,0,0,1000
31,0.012,0,0,1000
31,0.018,0,0,1000
31,0.028,0,0,1000
31,0.042,0,0,1000
31,0.065,0,0,1000
31,0.09,0,0,1000
31,0.11,0.021,21,1000
31,0.13,0.085,85,1000
31,0.15,0.208,208,1000
31,0.17,0.411,411,1000
31,0.19,0.577,577,1000
31,0.22,0.693,693,1000
